label,youtube_id,time_start,time_end,split
shot put,PnZrbUwkJjU,1,11,train
country line dancing,PnfHMcwhcyY,0,10,train
riding unicycle,Pnh91iQg0XU,91,101,train
tickling,PnwOuE62a7U,704,714,train
playing bagpipes,Po4UmYh35w8,53,63,train
smoking,PoErvY8SrkA,21,31,train
cleaning floor,PoGpZjhZCEM,25,35,train
cleaning toilet,PoMjGRJWTrw,3,13,train
folding napkins,PoRtxzu-nKQ,25,35,train
dribbling basketball,PoZjxtmt7Hw,10,20,train
cleaning toilet,Po_-L5hJWHc,244,254,train
riding unicycle,PodfrckQfoc,18,28,train
tai chi,PoolJ8L1re4,156,166,train
tying knot (not on a tie),PowkA9Bojlo,211,221,train
picking fruit,PoxlrwyuZ8g,83,93,train
presenting weather forecast,Poyq0y6dlN4,265,275,train
presenting weather forecast,PoyqGmNgos0,22,32,train
playing trumpet,Pp2HlFLtqBw,290,300,train
milking cow,Pp42aCv9sSA,1,11,train
playing poker,Pp5n_TnanI0,1,11,train
vault,Pp7j9h3TKkc,23,33,train
ski jumping,Pp8SluGVB0k,39,49,train
playing ice hockey,PpMo9BzZ114,170,180,train
smoking,PpPJyGNeit8,55,65,train
playing trumpet,PpTIB8wpf68,5,15,train
breakdancing,PpTVQIlPnjA,50,60,train
spraying,PpTrojJihyA,7,17,train
applying cream,PpdlGPIz0-w,25,35,train
playing drums,Ppfq1_wcoHM,42,52,train
riding or walking with horse,Ppg1-VfXAFk,28,38,train
skiing crosscountry,PpjfoO5dsvk,44,54,train
busking,PprSXKAYVrA,43,53,train
tai chi,PprylyWozuc,7,17,train
shoveling snow,Ppus3zwC2GI,74,84,train
riding mechanical bull,Ppvu9XC18RM,0,10,train
throwing ball,PqD6KaRsBB8,18,28,train
vault,PqE1mLPiO80,17,27,train
dying hair,PqQkyBvlEso,94,104,train
singing,PqdZceNrwMA,105,115,train
golf driving,PqmllOUiT1c,6,16,train
riding mechanical bull,Pqwhhqa3eSI,34,44,train
passing American football (in game),PqyBx6pQytI,3,13,train
playing squash or racquetball,PrBNif0-DhM,0,10,train
doing aerobics,PrJJEzE2hvE,98,108,train
roller skating,PrMVPTOliQ0,11,21,train
slacklining,PrWTTVyVFMU,71,81,train
carving pumpkin,PrWd-wLlv28,95,105,train
paragliding,PrXTtgVd2zg,17,27,train
playing flute,PrYuSHETOs4,4,14,train
playing saxophone,PraJB7yy8rc,116,126,train
golf putting,PrbLt0v8qpA,214,224,train
shredding paper,PrebvKya2ZE,7,17,train
tobogganing,PrfkcUyES-I,2,12,train
tying knot (not on a tie),PriVsNuR8dg,106,116,train
using computer,PrwFxvh3tT8,20,30,train
busking,Prx_RiIwrBQ,249,259,train
pushing car,PsDwhJ_lqms,14,24,train
skiing (not slalom or crosscountry),PsQJPuIOh48,21,31,train
sniffing,PsTMvTobcpI,26,36,train
picking fruit,PsTrykLjBY0,43,53,train
dining,PsUkAqO876k,94,104,train
dodgeball,Psgx4Rv8gWg,0,10,train
breakdancing,PsjYf7OxVYM,59,69,train
knitting,PskBxruar0c,92,102,train
yoga,Psq9dVZuHBM,6,16,train
washing feet,Pt2SKpm1O-c,27,37,train
waxing legs,Pt6NaNdPctM,4,14,train
singing,PtAIOYGA3Bg,8,18,train
playing drums,PtATrrpKejs,446,456,train
making pizza,PtAea2dnBkg,6,16,train
blowing out candles,PtGkIJmDE0w,9,19,train
using computer,PtIvGaAwNJI,14,24,train
shoveling snow,PtJVS0GAd5U,17,27,train
high jump,PtOPYgaSkno,2,12,train
laughing,PtPZqeKMwHA,70,80,train
situp,PtSaKUQ9BCQ,1,11,train
baby waking up,PtbpO94wVqc,8,18,train
krumping,Ptoe3yNxdVc,166,176,train
making jewelry,PtuDFqbVEp0,329,339,train
skiing (not slalom or crosscountry),PturO2HPz4U,129,139,train
opening bottle,Pu0khgzFUNc,74,84,train
yoga,PuEAHGWQE9c,2035,2045,train
shearing sheep,PuL1Pph2lHA,115,125,train
salsa dancing,PuM_KQpTUNs,306,316,train
slacklining,PuN4-WF-VOI,66,76,train
making pizza,PuR_Jz_3zDE,161,171,train
making pizza,PuaaMdOZqZg,24,34,train
jumping into pool,PudvDG5E9Os,3,13,train
spinning poi,PumqsY-l_Yc,2,12,train
laughing,Pun3vNsMnaE,19,29,train
taking a shower,PunQTUBHLv0,19,29,train
making pizza,PurwPQlBRYI,5,15,train
using computer,PuvTDLP8lwM,67,77,train
riding mountain bike,Pv-q6Z5U5Tk,14,24,train
hugging,Pv4lrkNhYRk,14,24,train
playing saxophone,PvCDscOJi5o,80,90,train
opening bottle,PvEhFpYZapg,19,29,train
disc golfing,PvG3f3lLvNM,584,594,train
playing saxophone,PvLUyH_XtgM,147,157,train
tying knot (not on a tie),PvMtZ8uU4iQ,0,10,train
picking fruit,PvOSa1oxJf4,86,96,train
tying bow tie,PvPGgrwTvWI,15,25,train
arm wrestling,PvXGNWhkUDU,18,28,train
using segway,Pv_GIhLsHAQ,22,32,train
tying knot (not on a tie),Pvd9hwrNS-U,155,165,train
krumping,Pvh6S7Zso_E,191,201,train
egg hunting,PvhuF_3MSoU,174,184,train
strumming guitar,PvrKI7qdunw,56,66,train
baby waking up,Pvt12H34Cvw,76,86,train
hoverboarding,PvuJRSf2I6M,29,39,train
tap dancing,PvuL9wx4mtA,53,63,train
balloon blowing,Pw0OmUULOPo,30,40,train
cutting nails,Pw1d9hb-aRw,28,38,train
dunking basketball,Pw5g_eq3dlE,61,71,train
cleaning floor,PwJOIBljdAQ,35,45,train
eating chips,PwLnyeMlhxo,211,221,train
decorating the christmas tree,PwMDuRxXLDU,3,13,train
pumping gas,PwOrBnOkLCE,20,30,train
playing trumpet,PwXq1WHOSM8,30,40,train
folding clothes,Pw_hUFMAcbQ,36,46,train
salsa dancing,Pwap2Mzm3ng,124,134,train
making bed,PwxpIkroE2w,53,63,train
balloon blowing,PwzxAjKB47I,47,57,train
getting a tattoo,Px08sPeSsG0,4,14,train
sanding floor,PxE9h7l5Doc,3,13,train
using computer,PxcKL-WoXfM,115,125,train
laughing,PxuaHfLegiU,8,18,train
vault,Py0ejnpQdmY,22,32,train
playing bass guitar,PyGku4aMETs,39,49,train
skateboarding,PyHbhFGI2Mw,285,295,train
busking,PyHuoTKZHxo,71,81,train
shot put,PyPzSdZX-W0,10,20,train
playing drums,PySV5lVsrrs,0,10,train
tapping pen,PyfCOXX57Y8,47,57,train
reading book,Pyjh2F_gIek,284,294,train
driving car,PykAT8YXHvY,244,254,train
high jump,PyvaEVpvDME,234,244,train
high jump,Pz7eAL3Ahyc,1,11,train
playing trumpet,Pz7vZ_6VYlU,87,97,train
breakdancing,PzJTqlUZd3E,9,19,train
tobogganing,PzMgmWO3i4g,0,10,train
balloon blowing,PzMpcWSvL5E,20,30,train
climbing a rope,PzQFiY-2GNg,83,93,train
yoga,PzXFv6OalUk,48,58,train
vault,PzcJfn34pF0,3,13,train
taking a shower,PzcRnBFKB2M,69,79,train
parkour,PzgB-dT1HcE,0,10,train
shot put,Pzl6sd3lQ9E,4,14,train
snatch weight lifting,PzpIbLwTovU,7,17,train
snatch weight lifting,PzqxjP5nykQ,4,14,train
bobsledding,PzuFuvx-pqk,16,26,train
sanding floor,Pzz87G14Avw,195,205,train
hugging,Q--ElJAJRnI,33,43,train
vault,Q--WXxjUDuw,13,23,train
using computer,Q-1DyLmKr8Q,90,100,train
fixing hair,Q-4zWKROqyM,3,13,train
riding camel,Q-8BN7BXunM,0,10,train
baby waking up,Q-EOz8QWnsY,68,78,train
high jump,Q-N1_L1U2Gs,6,16,train
climbing a rope,Q-Oz3796wKM,9,19,train
trapezing,Q-TXMrOXL1g,0,10,train
using computer,Q-YoZkxVTzQ,39,49,train
celebrating,Q-Zv0ycE-gg,136,146,train
breakdancing,Q-_GLTJ2s9c,14,24,train
snatch weight lifting,Q-_JoG-FtNs,2,12,train
tapping guitar,Q-_QnW6PGlI,40,50,train
feeding birds,Q-_RYv1sSWM,42,52,train
vault,Q-ayssNAW90,136,146,train
tying knot (not on a tie),Q-ccdU9gQds,43,53,train
singing,Q-fYwG9FmAk,254,264,train
dying hair,Q-fnD9dm_fM,99,109,train
high jump,Q-fxHoeYs1g,0,10,train
presenting weather forecast,Q-gC5Ox3uCA,4,14,train
tap dancing,Q-jnfBP41Js,415,425,train
picking fruit,Q-llTvXDslY,57,67,train
picking fruit,Q-tvL70SuMs,6,16,train
playing cymbals,Q-vU8u29bi4,53,63,train
swinging legs,Q-wJsKmr3ew,4,14,train
skiing (not slalom or crosscountry),Q-zlkNxk_YE,72,82,train
skiing (not slalom or crosscountry),Q0NTahqRCeg,45,55,train
petting cat,Q0_5CZIiZKU,13,23,train
golf putting,Q0kHkaEpUbw,7,17,train
playing organ,Q139tFoef7U,169,179,train
salsa dancing,Q14tJ9Su3uY,64,74,train
skiing (not slalom or crosscountry),Q1AvXEkNI3U,484,494,train
playing bagpipes,Q1DtoZkdshI,37,47,train
cooking sausages,Q1HsLKHiY9o,272,282,train
high jump,Q1Lh-kNlgd8,3,13,train
exercising with an exercise ball,Q1Oi64Q9YjU,11,21,train
pushing cart,Q1aJlYgwdVg,18,28,train
snatch weight lifting,Q1enCmWQhTQ,0,10,train
shaving legs,Q1g4BmpHUSE,10,20,train
shoveling snow,Q1mm0LMz_nM,60,70,train
cleaning floor,Q1nQurTb9_k,58,68,train
using computer,Q1p5is8dAB4,109,119,train
taking a shower,Q1rHR8qF9ds,443,453,train
gymnastics tumbling,Q2-HPjE7_WU,0,10,train
dribbling basketball,Q2HhI1sRPh4,1,11,train
playing trombone,Q2TRgEOVbG4,255,265,train
shaving head,Q2VyDrgAPZ8,19,29,train
high jump,Q2_ehsqmqow,0,10,train
playing saxophone,Q2pkE95Qms4,63,73,train
riding or walking with horse,Q2q4LYE1YqE,61,71,train
laughing,Q2rSxzkL9Bo,2,12,train
playing drums,Q30icbO8xDI,130,140,train
carving pumpkin,Q35SXPvBngw,174,184,train
drinking beer,Q3GFWcU7gEI,61,71,train
shoveling snow,Q3Gnjtd-tVc,18,28,train
brushing teeth,Q3KZOWKVo-Q,39,49,train
digging,Q3N7A7JI4DI,24,34,train
situp,Q3SmFI4z-3w,61,71,train
scuba diving,Q3XSFbmXnME,59,69,train
making tea,Q3YQe0tieBk,223,233,train
riding mechanical bull,Q3_65Eu2Hqs,0,10,train
waxing eyebrows,Q3b5WU64fJg,94,104,train
playing squash or racquetball,Q3bR5I2_584,743,753,train
scuba diving,Q3r1OK8ixH0,62,72,train
playing trumpet,Q3rLOBkdXT0,13,23,train
playing cards,Q3whBzQ5yFI,158,168,train
jumping into pool,Q4-548Nf0Og,34,44,train
crossing river,Q4EivWGdjO4,121,131,train
sled dog racing,Q4MBwGyiLUs,16,26,train
breakdancing,Q4OcSzo09iU,0,10,train
breakdancing,Q4XpVS3298Y,16,26,train
playing bagpipes,Q4ZzqGrZfHc,128,138,train
skiing crosscountry,Q4ru9ApueO8,68,78,train
juggling fire,Q4yCWm8IvLw,13,23,train
shot put,Q500haDA35c,4,14,train
doing aerobics,Q51-LYsimWI,99,109,train
busking,Q51KAjfk7xc,18,28,train
playing bagpipes,Q53LEBadt_4,6,16,train
throwing axe,Q54mqN2Sh3I,7,17,train
cartwheeling,Q59HL52BYSw,12,22,train
playing poker,Q5HuOZjkK1A,36,46,train
playing ukulele,Q5KwqYQVncI,18,28,train
playing drums,Q5OlKtd_tN8,114,124,train
playing drums,Q5Ywy6L7pNU,15,25,train
cooking chicken,Q5bg3ZCfbXs,194,204,train
feeding birds,Q5diRSK-NCw,89,99,train
grooming horse,Q5euDu_7biw,82,92,train
playing drums,Q5plP4L-YZA,120,130,train
javelin throw,Q5vmjIDoes0,3,13,train
sled dog racing,Q5xeCNANfyg,2,12,train
pole vault,Q5zoXCvqWBg,15,25,train
krumping,Q60GPOzbezE,175,185,train
slacklining,Q67Gy8BkdD0,1,11,train
hammer throw,Q69pPs-LL38,4,14,train
riding elephant,Q6KfdDcGRl0,42,52,train
yoga,Q6QEEa6xU5o,9,19,train
waxing chest,Q6VLmz3-f5w,100,110,train
snatch weight lifting,Q6XqFZhAeiY,23,33,train
playing squash or racquetball,Q6d926c739k,72,82,train
presenting weather forecast,Q6h5Tm-Dcjc,9,19,train
using computer,Q6rij_svhuc,517,527,train
golf driving,Q6uLVnIq0zc,164,174,train
carrying baby,Q6vqJPJ399Y,44,54,train
krumping,Q71JlYYN1TQ,0,10,train
front raises,Q74QJVsa3sY,7,17,train
krumping,Q75Db4PPFYk,22,32,train
cleaning toilet,Q75vPYXbji4,65,75,train
kitesurfing,Q7FfKLWFsbk,52,62,train
feeding birds,Q7P6J4aARrE,5,15,train
kitesurfing,Q7Q7j39wKgw,8,18,train
making pizza,Q7Taduj6wMA,134,144,train
driving car,Q7VHT0IbaTg,30,40,train
riding camel,Q7WJZ9u7Few,0,10,train
playing trumpet,Q7ZLfFf8324,47,57,train
playing flute,Q7cgJD7-sEM,62,72,train
golf chipping,Q7cqxTIi-VI,53,63,train
playing piano,Q7dVpEbTcKM,14,24,train
changing wheel,Q7eK0xT6VSQ,1,11,train
playing saxophone,Q7fGC0p7N94,11,21,train
slacklining,Q7kiodW8PZU,6,16,train
stretching arm,Q7lhahyE2Gs,2,12,train
filling eyebrows,Q7mKXCXgFnY,422,432,train
swimming butterfly stroke,Q7u8Bn6Sffw,13,23,train
dying hair,Q7vvtY_RbOE,99,109,train
presenting weather forecast,Q810dekoa3Y,28,38,train
breakdancing,Q88clWCkFqA,38,48,train
playing bagpipes,Q89RraCMyWc,118,128,train
busking,Q8ZObO0HMqg,49,59,train
cheerleading,Q8bpp92CMj4,115,125,train
snowmobiling,Q8gC1Swn63A,19,29,train
feeding birds,Q8h2WPsC1P8,9,19,train
dunking basketball,Q8kkRVJfNkM,44,54,train
drinking beer,Q8nbWf3JTWk,25,35,train
dribbling basketball,Q8qY0SZ336k,16,26,train
headbanging,Q94HkCrbRA8,7,17,train
playing harp,Q99rPM4h2Oo,143,153,train
cooking sausages,Q9LfKvr4rlM,424,434,train
folding napkins,Q9W5oJzA1QA,150,160,train
salsa dancing,Q9_vlHdfDTM,40,50,train
washing hands,Q9aQrt_8vjI,35,45,train
playing accordion,Q9cczYTfbjw,36,46,train
playing bass guitar,Q9nNjFqdHLo,353,363,train
dying hair,Q9nUjjFlRfs,163,173,train
riding mechanical bull,Q9rN8xiTNf8,41,51,train
roller skating,QA2kmbjpJNM,101,111,train
tapping guitar,QACCFVQxsJs,38,48,train
sticking tongue out,QAdwADlqI2Q,1,11,train
reading book,QAf1ublrJO0,16,26,train
golf chipping,QAhYiL2lApU,183,193,train
bench pressing,QAiAO3fMlHU,13,23,train
making pizza,QAiODLungNI,188,198,train
planting trees,QAjdHKFzJQ0,43,53,train
braiding hair,QAmtJE0dl94,82,92,train
brushing hair,QApO5qM4vpw,802,812,train
ice skating,QAsvtxQ1l7k,234,244,train
playing accordion,QAtCgZMGW3I,1,11,train
plastering,QAx-taiPtnY,0,10,train
playing organ,QAyQBM9n4-M,43,53,train
windsurfing,QB4LO-jSG-c,113,123,train
hitting baseball,QB5hCUW_OIQ,10,20,train
water skiing,QBGLD-CEsgI,97,107,train
vault,QBIGvKnaMEw,24,34,train
playing ukulele,QBVoRcCsvds,136,146,train
squat,QBW6plQ20PM,146,156,train
massaging back,QBe81sr-Rhw,109,119,train
sled dog racing,QBgnGeGfnso,66,76,train
playing organ,QBhG_nNSHR0,3,13,train
ski jumping,QBmQmQD1It8,66,76,train
shoveling snow,QBsnbkxjdCA,38,48,train
opening bottle,QBuoZ5aNZHs,9,19,train
climbing a rope,QCAswj7RezU,2,12,train
motorcycling,QCBioKYW7Us,17,27,train
throwing ball,QCPJJPgUKgQ,17,27,train
side kick,QC_7YyVP_RM,3,13,train
swimming backstroke,QCqR4-ChvUU,30,40,train
presenting weather forecast,QCsyGy5igIU,33,43,train
playing saxophone,QCu4_5eNt2c,35,45,train
trimming or shaving beard,QCv4VQn2ros,221,231,train
laying bricks,QCvVy75INdo,29,39,train
swinging legs,QCvqWDlp360,3,13,train
swimming backstroke,QD6AM6Ufd5M,131,141,train
feeding birds,QDTbdtvWuis,0,10,train
massaging back,QDW-Htaw7Ec,243,253,train
hurdling,QDW29o3Gcbo,18,28,train
playing poker,QDgRfrVuPSw,31,41,train
filling eyebrows,QDiK5E2vBWk,349,359,train
tying tie,QE4kU7JxKPg,104,114,train
making pizza,QEUWxEL62AU,74,84,train
welding,QEWEMCwSMuw,40,50,train
laying bricks,QEZCAuW5mas,230,240,train
dribbling basketball,QEj1pb5IkVQ,153,163,train
feeding birds,QExr0CIjoVo,58,68,train
playing saxophone,QEyXthpf0CI,124,134,train
balloon blowing,QF0u6V3l5HI,0,10,train
playing bagpipes,QFFttdhR5Bk,4,14,train
tying knot (not on a tie),QFJUgAy6zwY,12,22,train
drinking,QFOdPkIfSIQ,865,875,train
feeding birds,QFSzzka2UBk,32,42,train
cleaning floor,QFTs40hub6E,70,80,train
feeding birds,QFXHbX0NkM0,17,27,train
trapezing,QFY31e2b48w,4,14,train
slacklining,QFZV-sTj6E8,1724,1734,train
kitesurfing,QFZvtO3ergQ,120,130,train
using computer,QFmYG8Cs6ao,25,35,train
weaving basket,QFy4YH5ypeE,59,69,train
side kick,QG1v6pPt-4w,84,94,train
hugging,QG8yHPyxRj8,67,77,train
smoking,QGA-IM83tys,23,33,train
playing drums,QGQuCLpQvj4,10,20,train
pumping gas,QGT1bkym49I,1,11,train
swimming breast stroke,QGZ8rIy-YtI,9,19,train
playing organ,QGfF-YPhTX8,0,10,train
tobogganing,QH94gyW0DJo,18,28,train
breakdancing,QH9tM5jl-7k,271,281,train
playing flute,QHMHBOPzvwY,20,30,train
ice skating,QHNtk9_JF60,30,40,train
golf driving,QHTZVlj4ANM,0,10,train
playing bagpipes,QHU5K7JlaDY,65,75,train
dodgeball,QHYZpUMoHY4,113,123,train
sniffing,QHgeYxjdFww,14,24,train
eating ice cream,QI3BfII7eTs,2,12,train
dunking basketball,QI3KKvqKnDE,80,90,train
opening bottle,QIFNLrKZAzw,7,17,train
baby waking up,QIKfmmWS_C0,3,13,train
playing basketball,QIYbIBtV7xU,66,76,train
using computer,QI_kgMaOI_w,3,13,train
shot put,QIeg5FdFwK4,1,11,train
gymnastics tumbling,QIg5ttTJnvg,4,14,train
snowboarding,QIgWcQVU7ww,143,153,train
laughing,QIj28ukDXoA,14,24,train
blowing glass,QImaUY54iTY,67,77,train
dying hair,QIqDMT0TQrE,255,265,train
salsa dancing,QIrsboV0Xyk,35,45,train
tapping guitar,QIsLgdFBO84,85,95,train
cooking egg,QJ3MQwEYsmk,193,203,train
situp,QJ3NyBEC398,0,10,train
roller skating,QJBNed9reIE,19,29,train
tapping guitar,QJDm2t2Wd50,165,175,train
surfing crowd,QJEDrUtyktE,13,23,train
snowboarding,QJGQCACc3U4,31,41,train
tapping pen,QJHX-CMJemY,98,108,train
presenting weather forecast,QJHkhVfS7N0,9,19,train
somersaulting,QJKlJ9CZiVo,1,11,train
swimming breast stroke,QJLD88pKPg4,165,175,train
massaging legs,QJTFD_Mvjas,205,215,train
doing aerobics,QJUzwAwSIhk,43,53,train
dunking basketball,QJahPQTu-Js,0,10,train
snatch weight lifting,QJcFxuGima4,19,29,train
welding,QJce_6RH6zU,256,266,train
cleaning floor,QJj61y5uvPY,15,25,train
roller skating,QJnjDPN2RU0,0,10,train
dribbling basketball,QJpGYSbZTEM,33,43,train
breakdancing,QJpgDcqlHeA,1,11,train
dying hair,QK5v_ugvGfU,319,329,train
long jump,QK9NHsQdTa4,7,17,train
tying knot (not on a tie),QKA_decUAqo,92,102,train
filling eyebrows,QKJlI70rA48,365,375,train
filling eyebrows,QKKcns3x2-4,63,73,train
using computer,QKkSCGsGQ9w,36,46,train
passing American football (in game),QKnQxj2WEwI,4,14,train
situp,QKodtKEPgpY,10,20,train
making pizza,QKqdmC6zsh4,138,148,train
triple jump,QKxSc_jBZUw,3,13,train
shoveling snow,QKyuMMtmaE0,28,38,train
motorcycling,QL1mDAbD6RM,172,182,train
trapezing,QL33eWNOAIc,24,34,train
salsa dancing,QL3RZtubry0,184,194,train
dunking basketball,QL65zi_yDn0,7,17,train
roller skating,QL7D34dK4Q0,58,68,train
tap dancing,QL7LSRubsRo,43,53,train
dunking basketball,QLBdlmMBvh8,1,11,train
riding elephant,QLRbMfBsGjQ,23,33,train
sniffing,QLVBPXqSe-o,28,38,train
playing cymbals,QM2YSMUD2bE,41,51,train
javelin throw,QMHF20eV9N0,3,13,train
arranging flowers,QMK5vQmHNKM,100,110,train
smoking,QMKSnEZJiCM,6,16,train
blowing leaves,QMM5dpnVPdM,0,10,train
shot put,QMNdIJe4ILQ,0,10,train
capoeira,QMOqxUSLAz0,34,44,train
plastering,QMY7mtetkc8,86,96,train
balloon blowing,QMZSXEzG2MI,0,10,train
unboxing,QMglr73b9JI,27,37,train
shot put,QMhIaFroGeo,18,28,train
shot put,QMhcL_lA5E4,24,34,train
playing trumpet,QMi0vo9z-6o,48,58,train
playing ukulele,QMi3xarwLuM,16,26,train
dining,QMl0YyMINPo,5,15,train
baking cookies,QMzWbu-7Z2k,83,93,train
tap dancing,QN-WapegB_I,20,30,train
playing trumpet,QN5H3f-nRTw,0,10,train
balloon blowing,QN6xbCArHHs,56,66,train
tap dancing,QN9rubEfAg4,28,38,train
climbing a rope,QNFguytjOhk,5,15,train
playing squash or racquetball,QNVszThi9js,27,37,train
surfing water,QNZXwdTy4aI,41,51,train
tying knot (not on a tie),QN_K8D6Q3sE,12,22,train
scuba diving,QNakcRza2As,5,15,train
busking,QNblwsZCa-Y,8,18,train
ski jumping,QNc6QYYk7Yc,14,24,train
sniffing,QNmuSbGaEjo,55,65,train
front raises,QNoNSgXytHE,3,13,train
cleaning floor,QOCNup4d7U8,2,12,train
playing organ,QOFQbQ8oTf0,12,22,train
feeding birds,QOXo1Z9KyF4,85,95,train
drinking,QOfn6jNC_0M,29,39,train
balloon blowing,QOnfbxoNSLc,3,13,train
springboard diving,QOtNIuqIhjg,198,208,train
water skiing,QOyHE1P0N_k,51,61,train
playing ice hockey,QP0GHJmM-ck,420,430,train
playing squash or racquetball,QP0Y0YBu78Q,20,30,train
hopscotch,QP2IYVyoq5I,27,37,train
laughing,QPB4jrAyJrM,15,25,train
playing accordion,QPGGo4haQEo,361,371,train
skiing (not slalom or crosscountry),QPIBfDcZ6dE,26,36,train
skiing (not slalom or crosscountry),QPL1RmLvV5I,149,159,train
playing volleyball,QPPAEICbUiY,274,284,train
roller skating,QPV2u6ig1dc,160,170,train
drinking beer,QPVxLgdkRYo,2,12,train
playing guitar,QPYlB83Ao-8,24,34,train
dying hair,QPeO-h-vwn8,454,464,train
windsurfing,QPj7xVLvWjs,253,263,train
feeding birds,QPqqiPT0GBo,4,14,train
bending metal,QPrJ1pSP2UI,55,65,train
feeding birds,QQBOlAIBL64,106,116,train
shot put,QQDeyhdIJWc,1,11,train
kicking field goal,QQE8v8LEmyo,11,21,train
skiing (not slalom or crosscountry),QQIJ5FpMW2U,126,136,train
roller skating,QQJKAyDn4PU,54,64,train
reading book,QQJs79Ohq78,145,155,train
cleaning gutters,QQO27S09q38,83,93,train
kicking field goal,QQQiPa6XabQ,69,79,train
water skiing,QQW0CW0zy0M,91,101,train
stretching leg,QQdKKNA4DJw,2,12,train
drinking beer,QQkXf-9rb8w,23,33,train
dribbling basketball,QQstEZTT7RI,2,12,train
playing volleyball,QQvgtEMeAyg,259,269,train
dying hair,QQyBgP97XuI,140,150,train
tying knot (not on a tie),QQyh9NeG_Zk,53,63,train
cooking on campfire,QQz9UPf_xfA,725,735,train
weaving basket,QR7g2DZquUM,35,45,train
cracking neck,QRAMpGRxVhM,146,156,train
feeding fish,QRCNbWbzWxk,1,11,train
cleaning floor,QRD-jegIPKk,2,12,train
playing cards,QRHWTQ0PQag,85,95,train
wrapping present,QRKq8nbFoIs,0,10,train
gymnastics tumbling,QRLywhddkqE,138,148,train
dunking basketball,QRbXd0F50zM,103,113,train
situp,QRd5HT4Ubus,0,10,train
clean and jerk,QRgEnlX4dXc,3,13,train
playing bagpipes,QRhVklUE-8U,23,33,train
braiding hair,QRifYEsTb34,118,128,train
jetskiing,QRnEMW7Jv2c,12,22,train
tying knot (not on a tie),QRtOL1vSeP8,107,117,train
catching or throwing softball,QRwUbyits0c,1,11,train
massaging back,QRwzdsnG0Aw,160,170,train
shoveling snow,QRx2vwA5RKg,73,83,train
high jump,QRyrmRHHFTE,4,14,train
playing cymbals,QS14O8M4Gu0,1,11,train
drinking,QS4ESBGug3U,60,70,train
tobogganing,QSBn6I7sktg,1,11,train
juggling fire,QSEjtlZERrM,13,23,train
cleaning floor,QSJwTCJpcRw,5,15,train
skiing (not slalom or crosscountry),QSKXFVGTU3s,176,186,train
playing didgeridoo,QSMWy1D3v7c,18,28,train
climbing a rope,QST01TWeN74,6,16,train
drinking,QSb8t1vUic0,317,327,train
petting cat,QSnV6-Q5EPk,49,59,train
tapping guitar,QT7dHBWA7Sk,11,21,train
dining,QT9KZaNyGUQ,131,141,train
skiing (not slalom or crosscountry),QTHgkPW8zYE,158,168,train
water skiing,QTQT-zzuLJM,6,16,train
slacklining,QTTA4K7NgXk,107,117,train
high jump,QTTiHZpKYd4,4,14,train
tobogganing,QTW7_FIgNY0,3,13,train
punching person (boxing),QTYN5yMAoYM,158,168,train
singing,QTgri6HKmaM,139,149,train
cooking egg,QTl2Z14pyv8,3,13,train
playing accordion,QTodXQjmwBE,138,148,train
checking tires,QTst6ZdlVtg,98,108,train
javelin throw,QTycD0VMopM,2,12,train
tap dancing,QU-JiilTLYo,60,70,train
golf putting,QUBvuEcEn8o,118,128,train
playing squash or racquetball,QUJXOFPJ_YI,1,11,train
clean and jerk,QUZrQA67e10,24,34,train
high jump,QUaQhPBENX0,2,12,train
snorkeling,QUaa3UigXYE,6,16,train
skiing slalom,QUiLy-yGt8k,14,24,train
laughing,QUlMTGbn3i4,1,11,train
playing saxophone,QUrTwC60kvQ,5,15,train
brushing hair,QUwVdGnyHyM,230,240,train
parkour,QUy4jXTXTDE,355,365,train
shooting basketball,QV0ptpGOf3o,128,138,train
passing American football (in game),QV1uBVmgwfg,0,10,train
unboxing,QV9NOlOuomg,78,88,train
archery,QVCATgq1SIs,684,694,train
archery,QVEFZVrC61M,264,274,train
watering plants,QVOdZ04if80,9,19,train
slacklining,QV_mbhw2Eh8,154,164,train
dunking basketball,QVbi0RrwRCE,1,11,train
gymnastics tumbling,QVgetESSGdI,2,12,train
cooking chicken,QVhInF1tUJw,411,421,train
balloon blowing,QVoAyeAjh44,2,12,train
high jump,QVpBYaFMCr0,11,21,train
doing aerobics,QW64Ql6Qhw4,823,833,train
cleaning floor,QW6lV8wvn4k,5,15,train
dribbling basketball,QW7ri_22pGQ,15,25,train
milking cow,QWAi_2ztO4c,72,82,train
opening bottle,QWH6hgIej8c,20,30,train
carrying baby,QWM6PFsj5AM,51,61,train
tobogganing,QWQXcf9b820,3,13,train
riding mechanical bull,QWX8rK6bu00,217,227,train
jumping into pool,QWu80DCfQ8s,15,25,train
applying cream,QX1K8DMRLAg,26,36,train
swimming butterfly stroke,QX3a4NPxjKA,7,17,train
skiing (not slalom or crosscountry),QX4NVvRxQt0,60,70,train
busking,QX9YbO54_J8,20,30,train
playing piano,QXDOyonqodQ,12,22,train
high jump,QXDhT3LOoe8,1,11,train
picking fruit,QXIWg_RTEu8,22,32,train
cleaning floor,QXMcIHD8AQs,0,10,train
clean and jerk,QXPWNmJpHi4,39,49,train
playing squash or racquetball,QXQhy74IUBY,98,108,train
tapping guitar,QXZ7SOWuD-o,49,59,train
busking,QXiyh3Dr7u0,10,20,train
drinking,QXoMoixf24Q,160,170,train
